Date,Site_name,Temp_mean,Clouds
5/31/2024,Site1,60.75,Low
6/17/2024,Site1,82.25,Medium
6/26/2024,Site1,74.83,Medium
7/5/2024,Site1,80.6,High
7/8/2024,Site1,85.5,Low
7/18/2024,Site1,79,Low
7/24/2024,Site1,74.83,High
8/16/2024,Site1,66.25,Medium
8/23/2024,Site1,80.3,Low
8/29/2024,Site1,66,Medium
5/21/2024,Site2,70,Low
5/28/2024,Site2,75,Low
6/4/2024,Site2,68,Low
6/4/2024,Site2,70,Low
6/27/2024,Site2,74.83,High
6/27/2024,Site2,74,Medium
7/2/2024,Site2,64,Low
7/12/2024,Site2,81,Low
7/22/2024,Site2,67.75,Low
8/9/2024,Site2,72,High
8/12/2024,Site2,69.16,Medium
8/21/2024,Site2,53.75,Low
5/20/2024,Site3,,
5/29/2024,Site3,71.75,High
6/10/2024,Site3,65,Medium
6/28/2024,Site3,75.5,Low
7/3/2024,Site3,65.29,Medium
7/12/2024,Site3,74,Low
7/17/2024,Site3,90.5,Low
8/4/2024,Site3,75.67,Medium
8/8/2024,Site3,62,High
8/14/2024,Site3,77,Low
8/20/2024,Site3,64,Medium
5/22/2024,Site4,74,Low
6/12/2024,Site4,62.75,Medium
6/25/2024,Site4,77,Low
7/1/2024,Site4,65.3,High
7/1/2024,Site4,67.5,High
7/11/2024,Site4,80,Medium
7/16/2024,Site4,78.5,Low
7/25/2024,Site4,74,High
8/2/2024,Site4,,
8/13/2024,Site4,62.25,Low
8/22/2024,Site4,61.3,Medium
5/21/2024,Site5,63.5,High
6/4/2024,Site5,76,Low
6/13/2024,Site5,69,Low
6/18/2024,Site5,81.5,Low
7/3/2024,Site5,72.8,Medium
7/10/2024,Site5,82.5,High
7/17/2024,Site5,82.5,Medium
8/9/2024,Site5,74.25,High
8/12/2024,Site5,64.3,Low
8/21/2024,Site5,60.5,Low
5/29/2024,Site6,63.25,Low
6/10/2024,Site6,68,High
6/20/2024,Site6,79.5,Low
6/28/2024,Site6,64,Low
7/2/2024,Site6,72.5,Low
7/10/2024,Site6,76.25,High
7/19/2024,Site6,67,Low
7/30/2024,Site6,71.5,High
8/6/2024,Site6,71.5,High
8/14/2024,Site6,69,Low
8/20/2024,Site6,59,Medium
5/24/2024,Site7,73.5,Low
6/6/2024,Site7,66.5,High
6/11/2024,Site7,68.5,High
6/24/2024,Site7,73,Medium
7/4/2024,Site7,77.33,High
7/9/2024,Site7,84.25,High
7/15/2024,Site7,82,Low
7/26/2024,Site7,78.5,Low
8/5/2024,Site7,81.8,Low
8/15/2024,Site7,77.25,Low
5/22/2024,Site8,83,Low
5/28/2024,Site8,64,Medium
6/12/2024,Site8,67,High
6/25/2024,Site8,65,Low
7/1/2024,Site8,71.3,Low
7/1/2024,Site8,72,Low
7/11/2024,Site8,73,Medium
7/25/2024,Site8,73.2,High
8/7/2024,Site8,61,High
8/13/2024,Site8,69.75,Low
8/19/2024,Site8,69,High
5/24/2024,Site9,78.5,Low
6/6/2024,Site9,69,Medium
6/11/2024,Site9,63.17,Medium
6/11/2024,Site9,64,Medium
6/19/2024,Site9,76,Low
6/24/2024,Site9,76,Medium
7/4/2024,Site9,71,High
7/9/2024,Site9,77.75,Low
7/15/2024,Site9,88.5,Low
7/26/2024,Site9,69.25,Low
8/8/2024,Site9,73.75,High
8/15/2024,Site9,71.5,Low
5/31/2024,Site10,69,Low
6/17/2024,Site10,74.25,Low
6/26/2024,Site10,82.83,Medium
7/5/2024,Site10,82,High
7/8/2024,Site10,78.25,Low
7/18/2024,Site10,72.75,Low
7/24/2024,Site10,78,High
8/16/2024,Site10,72.5,Medium
8/23/2024,Site10,67.6,Low
8/29/2024,Site10,65.25,High
